Entity,Code,Year,Renewable.Source,Terawatt.Hours
Argentina,ARG,1986,Solar,0
Argentina,ARG,1986,Wind,0
Argentina,ARG,1986,Others,0.107
Argentina,ARG,1987,Hydro,21.813
Argentina,ARG,1987,Solar,0
Argentina,ARG,1987,Wind,0
Argentina,ARG,1987,Others,0.108
Argentina,ARG,1988,Hydro,15.55
Argentina,ARG,1988,Solar,0
Argentina,ARG,1988,Wind,0
Argentina,ARG,1988,Others,0.121
Argentina,ARG,1989,Hydro,12.977
Argentina,ARG,1989,Solar,0
Argentina,ARG,1989,Wind,0
Argentina,ARG,1989,Others,0.119
Argentina,ARG,1990,Hydro,17.903
Argentina,ARG,1990,Solar,0
Argentina,ARG,1990,Wind,0
Argentina,ARG,1990,Others,0.107
Argentina,ARG,1991,Hydro,16.199
Argentina,ARG,1991,Solar,0
Argentina,ARG,1991,Wind,0
Argentina,ARG,1991,Others,0.1
Argentina,ARG,1992,Hydro,19.779
Argentina,ARG,1992,Solar,0
Argentina,ARG,1992,Wind,0
Argentina,ARG,1992,Others,0.102
Argentina,ARG,1993,Hydro,23.555
Argentina,ARG,1993,Solar,0
Argentina,ARG,1993,Wind,0
Argentina,ARG,1993,Others,0.107
Argentina,ARG,1994,Hydro,27.973
Argentina,ARG,1994,Solar,0
Argentina,ARG,1994,Wind,0
Argentina,ARG,1994,Others,0.119
Argentina,ARG,1995,Hydro,28.458
Argentina,ARG,1995,Solar,0
Argentina,ARG,1995,Wind,0
Argentina,ARG,1995,Others,0.116
Argentina,ARG,1996,Hydro,25.945
Argentina,ARG,1996,Solar,0
Argentina,ARG,1996,Wind,0.01
Argentina,ARG,1996,Others,0.351
Argentina,ARG,1997,Hydro,33.03
Argentina,ARG,1997,Solar,0
Argentina,ARG,1997,Wind,0.015
Argentina,ARG,1997,Others,0.446
Argentina,ARG,1998,Hydro,32.422
Argentina,ARG,1998,Solar,0
Argentina,ARG,1998,Wind,0.033
Argentina,ARG,1998,Others,0.464
Argentina,ARG,1999,Hydro,26.53
Argentina,ARG,1999,Solar,0
Argentina,ARG,1999,Wind,0.035
Argentina,ARG,1999,Others,0.65
Argentina,ARG,2000,Hydro,34.034
Argentina,ARG,2000,Solar,0
Argentina,ARG,2000,Wind,0.035
Argentina,ARG,2000,Others,0.675
Argentina,ARG,2001,Hydro,41.903
Argentina,ARG,2001,Solar,0
Argentina,ARG,2001,Wind,0.049
Argentina,ARG,2001,Others,0.609
Argentina,ARG,2002,Hydro,41.467
Argentina,ARG,2002,Solar,0
Argentina,ARG,2002,Wind,0.073
Argentina,ARG,2002,Others,0.85
Argentina,ARG,2003,Hydro,39.08
Argentina,ARG,2003,Solar,0
Argentina,ARG,2003,Wind,0.078
Argentina,ARG,2003,Others,1.014
Argentina,ARG,2004,Hydro,35.403
Argentina,ARG,2004,Solar,0
Argentina,ARG,2004,Wind,0.072
Argentina,ARG,2004,Others,0.9
Argentina,ARG,2005,Hydro,39.35
Argentina,ARG,2005,Solar,0
Argentina,ARG,2005,Wind,0.072
Argentina,ARG,2005,Others,1.074
Argentina,ARG,2006,Hydro,43.624
Argentina,ARG,2006,Solar,0
Argentina,ARG,2006,Wind,0.07
Argentina,ARG,2006,Others,1.567
Argentina,ARG,2007,Hydro,37.741
Argentina,ARG,2007,Solar,0
Argentina,ARG,2007,Wind,0.062
Argentina,ARG,2007,Others,1.576
Argentina,ARG,2008,Hydro,37.199
Argentina,ARG,2008,Solar,0
Argentina,ARG,2008,Wind,0.042
Argentina,ARG,2008,Others,1.694
Argentina,ARG,2009,Hydro,40.783
Argentina,ARG,2009,Solar,0
Argentina,ARG,2009,Wind,0.037
Argentina,ARG,2009,Others,1.729
Argentina,ARG,2010,Hydro,40.543
Argentina,ARG,2010,Solar,0
Argentina,ARG,2010,Wind,0.025
Argentina,ARG,2010,Others,2.013
Argentina,ARG,2011,Hydro,39.641
Argentina,ARG,2011,Solar,0.002
Argentina,ARG,2011,Wind,0.027
Argentina,ARG,2011,Others,2.19
Argentina,ARG,2012,Hydro,36.876
Argentina,ARG,2012,Solar,0.008
Argentina,ARG,2012,Wind,0.37
Argentina,ARG,2012,Others,2.454
Argentina,ARG,2013,Hydro,40.7
Argentina,ARG,2013,Solar,0.015
Argentina,ARG,2013,Wind,0.453
Argentina,ARG,2013,Others,2.457
Argentina,ARG,2014,Hydro,40.864
Argentina,ARG,2014,Solar,0.016
Argentina,ARG,2014,Wind,0.619
Argentina,ARG,2014,Others,2.302
Argentina,ARG,2015,Hydro,41.771
Argentina,ARG,2015,Solar,0.015
Argentina,ARG,2015,Wind,0.593
Argentina,ARG,2015,Others,2.378
Argentina,ARG,2016,Hydro,38.254
Argentina,ARG,2016,Solar,0.014
Argentina,ARG,2016,Wind,0.547
Argentina,ARG,2016,Others,1.963
Argentina,ARG,2017,Hydro,41.543
Argentina,ARG,2017,Solar,0.016
Argentina,ARG,2017,Wind,0.612
Argentina,ARG,2017,Others,2.384
Argentina,ARG,2018,Hydro,41.649
Argentina,ARG,2018,Solar,0.108
Argentina,ARG,2018,Wind,1.413
Argentina,ARG,2018,Others,2.297
Australia,AUS,1965,Hydro,7.69
Australia,AUS,1965,Solar,0
Australia,AUS,1965,Wind,0
Australia,AUS,1965,Others,0.296
Australia,AUS,1966,Hydro,7.345
Australia,AUS,1966,Solar,0
Australia,AUS,1966,Wind,0
Australia,AUS,1966,Others,0.284
Australia,AUS,1967,Hydro,7.606
Australia,AUS,1967,Solar,0
Australia,AUS,1967,Wind,0
Australia,AUS,1967,Others,0.29
Australia,AUS,1968,Hydro,7.951
Australia,AUS,1968,Solar,0
Australia,AUS,1968,Wind,0
Australia,AUS,1968,Others,0.282
Australia,AUS,1969,Hydro,8.684
Australia,AUS,1969,Solar,0
Australia,AUS,1969,Wind,0
Australia,AUS,1969,Others,0.281
Australia,AUS,1970,Hydro,10.171
Australia,AUS,1970,Solar,0
Australia,AUS,1970,Wind,0
Australia,AUS,1970,Others,0.261
Australia,AUS,1971,Hydro,11.507
Australia,AUS,1971,Solar,0
Australia,AUS,1971,Wind,0
Australia,AUS,1971,Others,0.263
Australia,AUS,1972,Hydro,11.553
Australia,AUS,1972,Solar,0
Australia,AUS,1972,Wind,0
Australia,AUS,1972,Others,0.28
Australia,AUS,1973,Hydro,12.286
Australia,AUS,1973,Solar,0
Australia,AUS,1973,Wind,0
Australia,AUS,1973,Others,0.338
Australia,AUS,1974,Hydro,13.874
Australia,AUS,1974,Solar,0
Australia,AUS,1974,Wind,0
Australia,AUS,1974,Others,0.429
Australia,AUS,1975,Hydro,14.888
Australia,AUS,1975,Solar,0
Australia,AUS,1975,Wind,0
Australia,AUS,1975,Others,0.489
Australia,AUS,1976,Hydro,14.154
Australia,AUS,1976,Solar,0
Australia,AUS,1976,Wind,0
Australia,AUS,1976,Others,0.484
Australia,AUS,1977,Hydro,13.544
Australia,AUS,1977,Solar,0
Australia,AUS,1977,Wind,0
Australia,AUS,1977,Others,0.429
Australia,AUS,1978,Hydro,14.675
Australia,AUS,1978,Solar,0
Australia,AUS,1978,Wind,0
Australia,AUS,1978,Others,0.405
Australia,AUS,1979,Hydro,14.246
Australia,AUS,1979,Solar,0
Australia,AUS,1979,Wind,0
Australia,AUS,1979,Others,0.418
Australia,AUS,1980,Hydro,13.467
Australia,AUS,1980,Solar,0
Australia,AUS,1980,Wind,0
Australia,AUS,1980,Others,0.385
Australia,AUS,1981,Hydro,13.866
Australia,AUS,1981,Solar,0
Australia,AUS,1981,Wind,0
Australia,AUS,1981,Others,0.404
Australia,AUS,1982,Hydro,12.77
Australia,AUS,1982,Solar,0
Australia,AUS,1982,Wind,0
Australia,AUS,1982,Others,0.516
Australia,AUS,1983,Hydro,12.124
Australia,AUS,1983,Solar,0
Australia,AUS,1983,Wind,0
Australia,AUS,1983,Others,0.431
Australia,AUS,1984,Hydro,13.126
Australia,AUS,1984,Solar,0
Australia,AUS,1984,Wind,0
Australia,AUS,1984,Others,0.441
Australia,AUS,1985,Hydro,13.941
Australia,AUS,1985,Solar,0
Australia,AUS,1985,Wind,0
Australia,AUS,1985,Others,0.456
Australia,AUS,1986,Hydro,14.026
Australia,AUS,1986,Solar,0
Australia,AUS,1986,Wind,0
Australia,AUS,1986,Others,0.46
Australia,AUS,1987,Hydro,13.614
Australia,AUS,1987,Solar,0
Australia,AUS,1987,Wind,0
Australia,AUS,1987,Others,0.47
Australia,AUS,1988,Hydro,14.334
Australia,AUS,1988,Solar,0
Australia,AUS,1988,Wind,0
Australia,AUS,1988,Others,0.731
Australia,AUS,1989,Hydro,14.254
Australia,AUS,1989,Solar,0
Australia,AUS,1989,Wind,0
Australia,AUS,1989,Others,0.81
Australia,AUS,1990,Hydro,14.759
Australia,AUS,1990,Solar,0
Australia,AUS,1990,Wind,0
Australia,AUS,1990,Others,0.759
Australia,AUS,1991,Hydro,15.653
Australia,AUS,1991,Solar,0.005
Australia,AUS,1991,Wind,0
Australia,AUS,1991,Others,0.72
Australia,AUS,1992,Hydro,15.941
Australia,AUS,1992,Solar,0.012
Australia,AUS,1992,Wind,0
Australia,AUS,1992,Others,0.67
Australia,AUS,1993,Hydro,16.387
Australia,AUS,1993,Solar,0.015
Australia,AUS,1993,Wind,0.002
Australia,AUS,1993,Others,0.67
Australia,AUS,1994,Hydro,16.15
Australia,AUS,1994,Solar,0.017
Australia,AUS,1994,Wind,0.005
Australia,AUS,1994,Others,0.697
Australia,AUS,1995,Hydro,15.631
Australia,AUS,1995,Solar,0.021
Australia,AUS,1995,Wind,0.007
Australia,AUS,1995,Others,0.826
Australia,AUS,1996,Hydro,15.969
Australia,AUS,1996,Solar,0.026
Australia,AUS,1996,Wind,0.007
Australia,AUS,1996,Others,0.947
Australia,AUS,1997,Hydro,15.953
Australia,AUS,1997,Solar,0.031
Australia,AUS,1997,Wind,0.007
Australia,AUS,1997,Others,0.997
Australia,AUS,1998,Hydro,15.798
Australia,AUS,1998,Solar,0.036
Australia,AUS,1998,Wind,0.018
Australia,AUS,1998,Others,1.081
Australia,AUS,1999,Hydro,16.282
Australia,AUS,1999,Solar,0.041
Australia,AUS,1999,Wind,0.043
Australia,AUS,1999,Others,1.134
Australia,AUS,2000,Hydro,16.466
Australia,AUS,2000,Solar,0.047
Australia,AUS,2000,Wind,0.134
Australia,AUS,2000,Others,0.889
Australia,AUS,2001,Hydro,16.124
Australia,AUS,2001,Solar,0.054
Australia,AUS,2001,Wind,0.287
Australia,AUS,2001,Others,0.797
Australia,AUS,2002,Hydro,16.095
Australia,AUS,2002,Solar,0.058
Australia,AUS,2002,Wind,0.534
Australia,AUS,2002,Others,1.267
Australia,AUS,2003,Hydro,16.211
Australia,AUS,2003,Solar,0.063
Australia,AUS,2003,Wind,0.704
Australia,AUS,2003,Others,1.692
Australia,AUS,2004,Hydro,15.687
Australia,AUS,2004,Solar,0.073
Australia,AUS,2004,Wind,0.795
Australia,AUS,2004,Others,2.815
Australia,AUS,2005,Hydro,15.466
Australia,AUS,2005,Solar,0.084
Australia,AUS,2005,Wind,1.299
Australia,AUS,2005,Others,3.871
Australia,AUS,2006,Hydro,14.945
Australia,AUS,2006,Solar,0.098
Australia,AUS,2006,Wind,2.162
Australia,AUS,2006,Others,3.933
Australia,AUS,2007,Hydro,13.049
Australia,AUS,2007,Solar,0.114
Australia,AUS,2007,Wind,2.852
Australia,AUS,2007,Others,4.275
Australia,AUS,2008,Hydro,11.815
Australia,AUS,2008,Solar,0.139
Australia,AUS,2008,Wind,3.458
Australia,AUS,2008,Others,3.696
Australia,AUS,2009,Hydro,12.642
Australia,AUS,2009,Solar,0.29
Australia,AUS,2009,Wind,4.438
Australia,AUS,2009,Others,2.787
Australia,AUS,2010,Hydro,13.746
Australia,AUS,2010,Solar,0.978
Australia,AUS,2010,Wind,4.985
Australia,AUS,2010,Others,2.442
Australia,AUS,2011,Hydro,19.634
Australia,AUS,2011,Solar,2.045
Australia,AUS,2011,Wind,6.432
Australia,AUS,2011,Others,2.574
Australia,AUS,2012,Hydro,17.083
Australia,AUS,2012,Solar,2.412
Australia,AUS,2012,Wind,7.725
Australia,AUS,2012,Others,3.098
Australia,AUS,2013,Hydro,19.144
Australia,AUS,2013,Solar,3.847
Australia,AUS,2013,Wind,9.259
Australia,AUS,2013,Others,3.332
Australia,AUS,2014,Hydro,14.532
Australia,AUS,2014,Solar,4.952
Australia,AUS,2014,Wind,9.777
Australia,AUS,2014,Others,3.546
Australia,AUS,2015,Hydro,13.949
Australia,AUS,2015,Solar,5.958
Australia,AUS,2015,Wind,11.802
Australia,AUS,2015,Others,3.691
Australia,AUS,2016,Hydro,17.684
Australia,AUS,2016,Solar,7.475
Australia,AUS,2016,Wind,13.026
Australia,AUS,2016,Others,3.648
